latin	arabic_form	form_kind	source_url	date_read	fetch_sha256	domain	market	licence	cldr_key
Belarusian Ruble (2000–2016)	روبل بيلاروسي (٢٠٠٠–٢٠١٦)	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/BYR/displayName
Belize Dollar	دولار بليزي	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/BZD/displayName
Canadian Dollar	دولار كندي	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/CAD/displayName
Congolese Franc	فرنك كونغولي	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/CDF/displayName
Swiss Franc	فرنك سويسري	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/CHF/displayName
Chilean Peso	بيزو تشيلي	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/CLP/displayName
Chinese Yuan (offshore)	يوان صيني (في الخارج)	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/CNH/displayName
Chinese Yuan	يوان صيني	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/CNY/displayName
Colombian Peso	بيزو كولومبي	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/COP/displayName
Costa Rican Colón	كولن كوستاريكي	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/CRC/displayName
Serbian Dinar (2002–2006)	دينار صربي قديم	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/CSD/displayName
